d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Jose R Resende,Local Guide,9 reseñas,Hace un año,Nueva,"compré un cargador samsung de 45w anunciado, hice una pregunta antes de comprar, después de la compra, el rastreo fue para el 01/11, luego el 05/11, y no llegó, pedí información sobre la entrega, y cancelaron la orden…",,Me gusta
Neiva Silva,Local Guide,3 reseñas,Hace un año,Nueva,"el reloj me gusto muy bien, solo un detalle en el anuncio muestra uno con un led azul, pero no vi ninguna descripcion de que seria rojo, entonces en esa parte me senti estafado... solo creo que serian hay que poner el…",,Me gusta
Leila Melhem,Local Guide,5 reseñas,Hace un año,Nueva,gran servicio. entrega rápida. muy satisfecho. pero el producto vino con dedos de tamaño muy irregular. tuvimos que arreglarlo. pero está bien. resuelto lo que necesitábamos.…,,Me gusta
VIVA! Fernanda Miranda,Local Guide,4 reseñas,Hace 8 meses,Nueva,"producto de mala calidad, con chirridos, empaque debil todo arrugado, pague mas envio y no llego en la fecha esperada…",,Me gusta
Wagner FONTES,Local Guide,31 reseñas,Hace 8 meses,Nueva,"son desagradables, hacen esas llamadas insistentes, con un producto que no entrega nada, y enseguida te piden un 20% de comisión para nada. 20% es decir, todo lo que compre a través de olist 20% es de ellos, imagínese…",,Me gusta
josinei storque,Local Guide,· 87 reseñas,Hace un año,Nueva,"mire, mi experiencia fue perfecta, me encantó el producto y me encantó el servicio del vendedor, desde el inicio de la compra hasta la finalización, el vendedor estuvo conmigo en todo momento, recomiendo esta tienda,…",,Me gusta
Alexandre Martins,Local Guide,1 reseña,Hace 10 meses,Nueva,"muy buen producto, gran acabado, llegó antes de lo previsto. lo único que no me gustó fue que no pude elegir el color del volante.…",,Me gusta
Gabriela,Local Guide,9 reseñas,Hace un año,Nueva,"súper recomendable, sorprendieron mis expectativas, ya que era un regalo para el niño, estaba ansiosa de que todo saliera bien, para no tener que cambiarlo, cuidaron increíble el producto y el cariño hasta para…",,Me gusta
Vânia Souza,Local Guide,5 reseñas,Hace un año,Nueva,"me gusto mucho el producto vino bien empacado. llegó antes de la fecha límite. era exactamente el modelo que estaba buscando. ya compré las mismas gafas en otro sitio, pero buscaba el mismo ser en rojo. perfecto me…",,Me gusta
lucy santos,Local Guide,2 reseñas,Hace un año,Nueva,"recibí mi producto antes de la fecha límite de entrega, me encantó mi estuche de brochas de maquillaje ruby rose, no lo encontraba en mi ciudad y cuando llegó era más de lo que esperaba, ¡confío en este!…",,Me gusta
Suely Place Henriques,Local Guide,3 reseñas,Hace 10 meses,Nueva,"excelente vendedor, entrega el producto antes de lo previsto en perfectas condiciones.
siempre estamos informados de dónde está el producto a través del seguimiento.…",,Me gusta
Adriana Freitas,Local Guide,1 reseña,Hace un año,Nueva,"¡excelente!
el producto llegó como se describe, entrega súper rápida mucho antes de lo previsto y excelente servicio, siempre comunicando sobre el producto. ¡gracias!…",,Me gusta
laisla vitoria,Local Guide,2 reseñas,Hace 10 meses,Nueva,"solo tengo que agradecer porque estoy satisfecho con el producto, todo está bien embalado ... entrega a tiempo, todo perfecto, puedes comprarlo sin miedo…",,Me gusta
Silvio Gusmão,Local Guide,1 reseña,Hace un año,Nueva,"en primer lugar quiero alabar el compromiso del vendedor, ya que la compra llegó con un día de antelación. aunque no le quité el sello que rodea al tablero, ya que es un regalo, me gustó mucho el ajedrez 3 en 1.…",,Me gusta
Celia Farias,Local Guide,1 reseña,Hace un año,Nueva,"me encantó el producto gran calidad era lo que esperaba, entrega antes de la fecha límite. compraría de nuevo…",,Me gusta
Benedito Manoel Ferreira,Local Guide,· 39 reseñas,Hace un año,Nueva,"a pesar de tener un problema inicial, había comprado 2 (dos) y me entregaron 1 (uno), me quejé y al segundo día me lo entregaron.
el producto es bueno, tal como se especifica y se espera.…",Me gusta,
Almir,Local Guide,194 reseñas,Hace un año,Nueva,"compré una base para lavadora/secadora en línea (ml). producto de calidad, bien acabado y aparentemente resistente. fácil de montar, con regulación de altura en todos los pies y regla niveladora que ayuda mucho.…",,Me gusta
gustavo peixoto,Local Guide,1 reseña,Hace un año,Nueva,excelente vendedor. súper orden. mi producto vino 100% correcto. llegó una semana antes de lo previsto. ¡estás de enhorabuena! definitivamente compraré de nuevo con ustedes.…,Me gusta,
Renata Maria Lopes Bortoluzzi,Local Guide,· 49 reseñas,Hace 9 meses,Nueva,"excelente compra!
entrega rápida, todo ok.
compraré otra biblia con este ganador.…",,Me gusta
Alcimar Pereira,Local Guide,8 reseñas,Hace un año,Nueva,"buenas noches, pregunte porque estaba desesperada con las bombas que no me llenaban lo que queria! ¡pero aun así, ordené y quedé muy satisfecho con el compresor! ¡pues me sorprendió! muy bueno y todavía tiene 03…",,Me gusta
Analice Francisca,Local Guide,1 reseña,Hace 9 meses,Nueva,surpe aprobado no esperaba llegar hoy 6 de abril pero para el 11 de abril me encantó y a mi mamá le encantó tanto ustedes están de enhorabuena gracias ❤️…,Me gusta,
Adriana Santana,Local Guide,· 69 reseñas,Hace un año,Nueva,"producto muy bien embalado, muy buen material, necesita dos personas para montarlo y estar bien fijado. muy buen servicio y la entrega fue antes de la fecha prevista. recomendar…",,Me gusta
wally fonseca,Local Guide,3 reseñas,Hace 7 meses,Nueva,mala experiencia. no te posicionan en la entrega. orden cancelada. total desprecio por el cliente.…,,Me gusta
Daiana M.B,Local Guide,2 reseñas,Hace 10 meses,Nueva,compré el plato de porcelana para poner en el terrario de mi hámster. llegó súper empacado y lo recibí en 3 días hábiles…,,Me gusta
Pedro Pregnolato,Local Guide,1 reseña,Hace un año,Nueva,"el producto llegó en perfecto estado, sin ningún problema, fácil instalación, no había burbujas en ninguna parte de la pantalla, encajaba perfectamente. lo único, pero creo que es normal para el material, es que la…",,Me gusta
Marleide Rosa,Local Guide,4 reseñas,Hace 10 meses,Nueva,"producto de gran calidad, y la entrega fue rapidísima.... me la entregaron antes del plazo que me dieron.
¡muchas gracias!…",,Me gusta
André Menezes,Local Guide,· 53 reseñas,Hace 10 meses,Nueva,"gran experiencia de compra, ¡el producto considerado llegó a tiempo! yo recomiendo…",,Me gusta
Valdir Pereira,Local Guide,· 45 reseñas,Hace un año,Nueva,"fue maravilloso comprar aquí, buen servicio, instalaciones responsables, entrega muy rápida, gran producto, me gustó mucho, lo recomiendo, buenos días a ustedes también �…",Me gusta,
Vi vian,Local Guide,18 reseñas,Hace un año,Nueva,"mi compra fue excelente. el proceso en la página de mercado libre de olist fue muy sencillo, rápido y seguro. mi producto incluso llegó días antes de lo previsto y es de gran calidad. gracias.…",,Me gusta
Maga LI,Local Guide,· 185 reseñas,Hace un año,Nueva,"demora en la entrega, tenia que llegar el 3 y llego el 5. el empaque llego correctamente, pero la calidad es decepcionante, muy fragil para soportar el peso de una taza de ceramica de unos 300gr…",,Me gusta
Nilzete Fernandes teixeira,Local Guide,· 79 reseñas,Hace un año,Nueva,"buena experiencia como otras.
última compra, a transportadora me deu segurança pois viria pelo correio, porém previsão de entrega pra dia 29...vendedor prévia dia 23....recebi mensagem da…",,Me gusta
Claudieline Oliveira,Local Guide,1 reseña,Hace un año,Nueva,"mi pedido llegó súper rápido, excelente material. me encantó, quedé encantada. es para mi nieto que va a llegar, pero creo que a mi hija también le va a encantar.atentos vendedores despejen nuestras dudas.…",,Me gusta
Flavio F C,Local Guide,4 reseñas,Hace 8 meses,Nueva,"¡muy bien! producto como se anuncia, entrega a tiempo, quedé satisfecho.…",,Me gusta
Ana Beatriz Terra,Local Guide,2 reseñas,Hace un año,Nueva,"estoy impresionada ya la vez enamorada!!!
¡la rapidez, el cuidado con el que llegó mi producto y la belleza del producto aún más personalmente, me aseguran que hice la compra correcta, en el lugar…",,Me gusta
Rosinete Sampaio,Local Guide,1 reseña,Hace 10 meses,Nueva,"buenas tardes, mi experiencia con olist fue muy buena, desde el inicio de la compra hasta el momento en que recibí el pedido me informaron de todo el progreso del mismo.…",,Me gusta
Kauan Stronda,Local Guide,1 reseña,Hace 10 meses,Nueva,"me gustó mucho el servicio y la entrega fue más rápida de lo que esperaba, ¡todo salió bien! yo recomiendo. 🤝…",,Me gusta
mario ricardo de carvalho,Local Guide,· 77 reseñas,Hace 9 meses,Nueva,"compré una caja de herramientas de 5 partes, vino una más grande de lo que imaginaba
el transportista se retrasó el día de la entrega, le cobraron al transportista…",,Me gusta
Denise Moreira De Jesus Silva,Local Guide,2 reseñas,Hace un año,Nueva,"producto de gran calidad, realmente mejor de lo que imaginaba, a mi hija le encantó, la entrega se hizo una semana antes, estoy realmente satisfecha, quedé encantada con el producto, muchas gracias �…",,Me gusta
Amanda Fernandes,Local Guide,4 reseñas,Hace un año,Nueva,"compré el parque infantil para mis pájaros, el producto es excelente, viene exactamente como en la foto con todos los accesorios l!! la calidad es excepcional y les está encantando, durante el montaje ya querían jugar…",,Me gusta
thiago cruz,Local Guide,4 reseñas,Hace 9 meses,Nueva,"lo compre a través de mercadolibre, los productos llegaron antes de la fecha límite, vinieron bien empacados y son de buena calidad! yo recomiendo…",,Me gusta
vane lopes,Local Guide,4 reseñas,Hace 7 meses,Nueva,muy bien llego a tiempo como lo esperaba vendedor muy atento lo recomiendo…,,Me gusta
osvaldo souza,Local Guide,3 reseñas,Hace 11 meses,Nueva,"gran servicio, gran producto, entrega muy rápida, compraría de nuevo y recomendaría con certeza. felicidades.…",,Me gusta
Marineis Sales Mion,Local Guide,1 reseña,Hace 8 meses,Nueva,"siempre me ha gustado comprar en mercado libre porque son muy serios y cuidadosos con nuestro producto, y la entrega es muy rápida..�…",,Me gusta
relindes Mariano,Local Guide,5 reseñas,Hace 11 meses,Nueva,la empresa de entrega puntual brinda un buen servicio en general el producto vino bien bien embalado todo bien satisfecho con el servicio…,,Me gusta
ÉRICA MOREIRA,Local Guide,1 reseña,Hace 11 meses,Nueva,"¡mi experiencia de compra fue maravillosa! la mochila llegó rápido, muy bien embalada, idéntica a la foto del anuncio. ¡felicidades! compraré más a menudo.…",,Me gusta
cleidimar b,Local Guide,1 reseña,Hace un año,Nueva,"excelente, entrega súper rápida, tuve un percance, devolví los guantes y me puse en contacto con los vendedores que fueron súper honestos y me reembolsaron rápido y me dieron todo el apoyo, fueron súper atentos,…",,Me gusta
Márcio Oliveira,Local Guide,· 28 reseñas,Hace 9 meses,Nueva,"felicitaciones, excelente producto, entrega súper rápida y excelente servicio. volveré a comprar pronto.
gracias…",,Me gusta
Leticia Gabriella Martins,Local Guide,3 reseñas,Hace un año,Nueva,"¡excelente servicio, excelente producto, llegó a tiempo! gracias a todo el equipo.…",,Me gusta
G R.B,Local Guide,· 31 reseñas,Hace un año,Nueva,me gustó que el producto llegara a tiempo. amado en perfecto estado muy hermoso recomiendo…,,Me gusta
Renata Diogo,Local Guide,1 reseña,Hace un año,Nueva,"horrible....
llegó la fuente y después de dos días de uso, se quemó.
tuve que contactarlos varias veces para que resolvieran el problema.…",Me gusta,
House Brasil,Local Guide,9 reseñas,Hace 9 meses,Nueva,"no tuve suerte con el perfume usado solo 5 veces se estropea la valvula, dependera de la conciencia del vendedor en cambiarme el producto estoy muy decepcionado.…",Me gusta,
Juliana Nicolini,Local Guide,3 reseñas,Hace un año,Nueva,"pedido el miércoles y pagado por foto, el pago aprobado llegaría el viernes. no llegó, me puse en contacto el lunes y me devolvieron el dinero por falta de producto en stock. servicio pobre. necesitaba lo que compré…",Me gusta,
Selma Andrade,Local Guide,17 reseñas,Hace 9 meses,Nueva,producto recibido de forma rápida y segura antes de la fecha límite. muy satisfecho con todo el apoyo recibido desde la compra hasta la postventa. felicidades al equipo de olist…,,Me gusta
Sandre Correa,Local Guide,8 reseñas,Hace un año,Nueva,"muy bueno, me gusto mucho, llego muy rapido, solo que no le doy 5 estrellas porque es un poco mas chico que otro que ya estoy revisando, pero la calidad es excelente, lo comprare de nuevo pronto, gracias…",,Me gusta
Binha B,Local Guide,9 reseñas,Hace un año,Nueva,recibí comentarios desde el inicio de la compra. me sentí seguro todo el tiempo. el producto llegó mucho antes de la fecha límite. todavía no lo he abierto porque está presente. estoy muy satisfecho.…,,Me gusta
Melquizedec Rodrigues,Local Guide,· 11 reseñas,Hace 9 meses,Nueva,"mi producto llegó en perfectas condiciones bien embalado y antes del plazo estipulado.
felicidades.…",,Me gusta
Geana Rodrigues,Local Guide,5 reseñas,Hace 9 meses,Nueva,"llegó mucho antes de la fecha de entrega prevista, estaba bien embalado, todos los productos sellados, ahora toca usarlo y obtener el resultado esperado �…",,Me gusta
Suely Oliveira,Local Guide,5 reseñas,Hace un año,Nueva,"recibimos el pedido, pero sería interesante que verifiques tu transportista para evitar más inconvenientes en el futuro, nuestra primera compra contigo llegó sin ningún problema y fue entregada por mercado livre esta…",Me gusta,
Line Ferrer,Local Guide,· 26 reseñas,Hace 9 meses,Nueva,¡¡¡excelente!!! producto de gran calidad y empresa seria que respeta al consumidor. ¡¡¡entrega a tiempo!!!…,,Me gusta
Nádia Figueiredo,Local Guide,11 reseñas,Hace 6 meses,Nueva,"hola olist, no hay respeto con el cliente. compre un producto y nunca ha llegado. nadie responde. terrible empresa.…",,Me gusta
Welbert França Martins,Local Guide,1 reseña,Hace 11 meses,Nueva,estoy muy satisfecho nunca había visto tanta puntualidad me sentí honrado de haber comprado con ustedes compraré más a menudo y recomiendo comprar. toda satisfacción…,,Me gusta
Wilson Pereira,Local Guide,16 reseñas,Hace un año,Nueva,"pedí un modelo de timbre para ancianos y me entregaron otro modelo y fabricante que no conocía ...
inmediatamente cuestioné y solicité información al proveedor.…",,Me gusta
Mary Moro,Local Guide,2 reseñas,Hace un año,Nueva,"gran servicio, bien embalado y producto de buena calidad, llegó mucho antes de la fecha límite.
estoy muy agradecido.…",,Me gusta
Marilía Magalhães,Local Guide,3 reseñas,Hace 11 meses,Nueva,enviaron súper rápido. el producto llegó bien embalado. gran servicio. volveré a comprar seguro!…,Me gusta,
alcir schumacker,Local Guide,2 reseñas,Hace 8 meses,Nueva,"compré 2 candados de 90mm. llegó rápido, antes de lo previsto. producto excelente. ya está en uso.…",,Me gusta
Rodrigo Deiró,Local Guide,2 reseñas,Hace un año,Nueva,"mala experiencia. no cumplieron con la oferta dada en el reloj inteligente. cancelaron el pedido tras una semana de compra, en la que solo dieron satisfacción tras cobrar 3 veces. acabé comprando una pulsera para el…",Me gusta,
Ginaldo Hermes da silva,Local Guide,1 reseña,Hace 8 meses,Nueva,"cuando hice el pedido pensé que tardaría mucho en llegar pero fue muy rápido de comprar, pagar y la entrega fue en un tiempo récord, gracias.…",,Me gusta
Luciene Vilalva,Local Guide,1 reseña,Hace un año,Nueva,muy bueno llego muy rapido y el producto llego como queria satisfecho.…,,Me gusta
Lais Abs,Local Guide,1 reseña,Hace 11 meses,Nueva,"fue una gran experiencia. recibí los pendientes en el plazo estipulado, con certificado de garantía y, para mi sorpresa, más bonitos que en la foto. ¡hermoso! nada de lo que quejarse. solo elogios.…",Me gusta,
Luciana Felix,Local Guide,2 reseñas,Hace un año,Nueva,"vaya, estoy impresionado hasta ahora, entrega antes de lo programado, súper atento, excelente producto, se lo recomiendo a todos, volveré a comprar, mantengo este servicio, grado 10, ☺️…",,Me gusta
Jorge Martinez,Local Guide,1 reseña,Hace 6 meses,Nueva,"mal, no han entregado el producto de momento, y aparece como entregado…",,Me gusta
Deivisson Fonseca,Local Guide,1 reseña,Hace 8 meses,Nueva,"estaba un poco nerviosa pensando que no llegaría a tiempo para el cumpleaños de mi hija, pero fueron súper atentos, llegó un día antes... ¡perfecto! felicidades ❤️…",,Me gusta
Lucio Mauro Marquezi Ferro,Local Guide,· 31 reseñas,Hace un año,Nueva,"realicé la compra a través de mercado livre del producto kit 2 bandejas sofá brazo tapete con puerta control, el recibo del producto llegó 1 día antes de lo previsto y el producto llegó en orden. no tuve…",,Me gusta
Valéria Oliveira,Local Guide,1 reseña,Hace 2 años,Nueva,"me gustó mucho el producto, la atención de los vendedores fue muy buena y el tiempo de entrega muy satisfactorio antes del plazo estimado.…",,Me gusta
Regiane Vertu,Local Guide,1 reseña,Hace 11 meses,Nueva,"los productos llegan bien embalados, son de excelente calidad, y el servicio de la empresa es sensacional, nota de venta y posventa 1000.…",,Me gusta
Leonardo Dos Santos maia,Local Guide,1 reseña,Hace un año,Nueva,"compré mi celular, el sábado con previsión de entrega el miércoles, ya y el martes y ni siquiera enviaron el artículo ""ahh pero ayer fue feriado"", el feriado está en el calendario desde principios de año, ellos podría…",Me gusta,
Vlademir Araújo,Local Guide,1 reseña,Hace un año,Nueva,"excelente mercancía, el producto llegó antes de la fecha límite estipulada, estaba bien empaquetado ... realmente necesitaba mucho este dispositivo, por eso lo recomiendo para quienes necesitan comprar con ustedes,…",Me gusta,
viviane rocha lopes,Local Guide,9 reseñas,Hace un año,Nueva,"producto muy eficaz, gran calidad.
solo una sugerencia a la hora de comprar 2 kits que empaquen todo junto, ya que en la entrega solo recibí 1 y al día siguiente volvieron a entregar el otro,…",,Me gusta
Walter das Trevas,Local Guide,2 reseñas,Hace 5 meses,Nueva,compré un dvd de windows 10 home edition y recibí un dvd virgin con una etiqueta de windows 10 pro…,,Me gusta
Gabrielle Lima,Local Guide,1 reseña,Hace un año,Nueva,al principio no me gusto mucho porque compre el producto en 2 cantidades y solo llego 1. a pesar de los imprevistos pronto estuvieron disponibles y agilizaron el envio del otro objeto. me gustó mucho la rapidez y el…,,Me gusta
Amanda Braga,Local Guide,· 50 reseñas,Hace un año,Nueva,llegó mucho antes de la fecha límite. el producto es muy resistente. viene todo montado. simplemente enciende la televisión. compré dos. se lo recomendaré a otras personas. me ha gustado bastante.…,,Me gusta
Ednalva Pereira Dos Santos,Local Guide,2 reseñas,Hace 9 meses,Nueva,"es hermoso, buen material, los soportes elásticos se quedaron cortos en mi sofá, pero funcionó, lo puse debajo del pie del sofá.…",,Me gusta
Mauricio Correa,Local Guide,5 reseñas,Hace un año,Nueva,"excelente servicio desde la compra hasta la finalización. el producto llego antes del tiempo estimado y en perfectas condiciones, bien acomodado y protegido.…",,Me gusta
Gabriel R,Local Guide,1 reseña,Hace 11 meses,Nueva,"perfecto, el producto llego inalterado en perfectas condiciones, buen producto, gran servicio, y entrega a tiempo…",,Me gusta
Jailton Souza De Oliveira Souza,Local Guide,1 reseña,Hace un año,Nueva,"ball show, muy buen producto y llegó 10 días antes de la fecha límite.…",,Me gusta
ilson castanheira,Local Guide,1 reseña,Hace 9 meses,Nueva,¡muy buena! ¡la mercancía llegó antes de lo esperado y a buen precio! ¡recomiendo a este vendedor! att. ilson…,,Me gusta
Claudio Rodrigues,Local Guide,4 reseñas,Hace un año,Nueva,"gran experiencia, el producto vino como se describe y la entrega súper rápida. el vendedor también se comunica muy bien, tanto durante como después de la venta.…",,Me gusta
Sardônica Books,Local Guide,2 reseñas,Hace un año,Nueva,"¡el scooter es maravilloso, el material es de excelente calidad, fuerte y el manillar alto! incluso yo lo usé 🤪¡llegó en 5 días súper rápido…",,Me gusta
Cezar De Souza,Local Guide,13 reseñas,Hace 10 meses,Nueva,fuimos bien recibidos durante todo el proceso de compra y recomendamos esta empresa a cualquier persona que pueda estar interesada en sus productos y servicios.…,,Me gusta
Ludirene Cordeiro,Local Guide,1 reseña,Hace 8 meses,Nueva,"estoy muy contento con la compra que realicé, mi mercancía llegó mucho antes de la fecha acordada.🥰👏�…",,Me gusta
Lais Batista,Local Guide,1 reseña,Hace 9 meses,Nueva,me gusto la base me llego mucho antes del dia que llego exactamente en el color que pedi estoy muy contenta y contenta recomiendo pueden comprar sin miedo…,,Me gusta
Cicero Jose de Paula,Local Guide,· 32 reseñas,Hace 10 meses,Nueva,"excelente servicio y la entrega superó mis expectativas, me entregaron el reloj 11 días antes de la fecha acordada y solo me queda agradecerles por una profesionalidad impresionante…",,Me gusta
Valdenrique Ribeiro,Local Guide,2 reseñas,Hace un año,Nueva,"gran producto, estoy muy satisfecho, se entregarán mucho antes de la fecha límite.…",,Me gusta
Rose Durade,Local Guide,2 reseñas,Hace un año,Nueva,"me gustó mucho la bicicleta, es perfecta para niños pequeños como mi nieta ya que no tiene partes peligrosas. mi nieta está contenta y yo muy satisfecho con el producto, que llegó mucho antes de la fecha prevista.…",,Me gusta
Cáren Noble,Local Guide,1 reseña,Hace un año,Nueva,"hermoso producto, delicado, colores fieles al anuncio. quedó un encanto en la habitación de mis bebés. la tienda está muy organizada, manteniendo al comprador siempre al tanto de lo que sucede. responden rápidamente.…",,Me gusta
Gilmario Silva De Sant Anna,Local Guide,1 reseña,Hace 9 meses,Nueva,"excelente caja, costo, calidad de sonido, diseño, entrega y la batería dura de 4 a 5 horas en el nivel de sonido promedio, muy bueno, lo recomiendo, gilmario-cidade-catu/ba…",,Me gusta
Keylla Crystyane,Local Guide,· 34 reseñas,Hace un año,Nueva,"¡servicio rápido, calidad maravillosa y entrega rápida!
altamente recomendado…",,Me gusta
Gislane Santos,Local Guide,4 reseñas,Hace 8 meses,Nueva,"la alfombra es top, pero tuve problemas con la entrega porque decía que se entregó pero no fue así,
pero al día siguiente entregaron. en cuanto a la alfombra, es muy buena.…",,Me gusta
joão claudio Visconte,Local Guide,13 reseñas,Hace un año,Nueva,"lamentablemente no tuve una buena experiencia, las puntas de los bolígrafos no llegaron, me dijeron que enviarían. sin embargo, prefirieron ofrecer la cancelación sin importar el estado del cliente. hay un desprecio…",,Me gusta
Alexandre Urquiza,Local Guide,10 reseñas,Hace un año,Nueva,"la empresa es muy ágil en responder las dudas de sus clientes y nos mantiene informados de todos los pasos desde la preparación hasta el envío sin necesidad de seguir preguntando, espero que esta empresa siga…",,Me gusta
Arissandra Brito,Local Guide,1 reseña,Hace 9 meses,Nueva,"quedé muy satisfecho con el producto que la señal llegó antes de la fecha límite. y con el vendedor muy atento y servicial. haré más compras. lo recomiendo, es confiable.…",Me gusta,
Eisler Cassiano Santos,Local Guide,3 reseñas,Hace un año,Nueva,"mi experiencia se retrasó por un entendimiento, porque quería una portada número 4 y me enviaron una portada número 5 diferente a la anunciada! y mandó otro, así quería el torneo número 4... pero no canceló el primer…",,Me gusta
Rebecca Gennaro,Local Guide,5 reseñas,Hace un año,Nueva,"el producto llegó dentro del plazo.
producto muy bonito y de buena calidad.
¡¡me gustó mucho!!…",,Me gusta
Tatiane Margotti,Local Guide,4 reseñas,Hace 10 meses,Nueva,"el producto llegó antes de lo previsto, excelente servicio y siempre actualizando la información de compra, súper recomendable.…",,Me gusta
HUGO GONÇALVES,Local Guide,· 30 reseñas,Hace un año,Nueva,"comprado para mi hija, ¡quedó muy satisfecho!
el kit llegó antes de lo prometido y todo lo prometido estaba en el paquete. desafortunadamente, no puedo comentar sobre la calidad del producto, pero para…",,Me gusta
Flavo Barth,Local Guide,· 15 reseñas,Hace un año,Nueva,"enviaron el producto equivocado: compré una cosa y otra. cuando traté de contactarlo para resolver el problema, fui bombardeado con respuestas automáticas. el humano (si era un ser humano real, no un bot con nombre)…",Me gusta,
Paola Nogueira,Local Guide,3 reseñas,Hace un año,Nueva,mi compra tuvo un cambio de fecha límite y no pude rastrear la compra por código. no me lo entregaron en mi domicilio y tuve que recogerlo en el cdd. solo sabía que mi producto estaba allí porque envié un mensaje.…,,Me gusta
Marcelo Sisti,Local Guide,2 reseñas,Hace 11 meses,Nueva,"tuvieron un problema con el transportista, pero no escatimaron esfuerzos para entregarme el producto a tiempo. recomiendo al vendedor a todo el mundo y volveré a comprarles sin ningún problema.…",,Me gusta
Keli Silva,Local Guide,2 reseñas,Hace un año,Nueva,el producto corresponde como dice el primer dia ya vi el resultado me salio olor a humedad me gusto mucho por que gastaba mucho dinero en antimoho y aun asi olía a moho me encantó este producto lo recomiendo…,,Me gusta
Brankinho Bjj,Local Guide,2 reseñas,Hace 8 meses,Nueva,"fue maravilloso describir sin palabras su compromiso. solo tengo que decir muchas gracias, tengo la intención de hacer más compras.…",,Me gusta
Daniela Viana,Local Guide,1 reseña,Hace un año,Nueva,es mi primera compra y me encanto la pelicula vino bien empaquetada sin ningun defecto quedo genial en mi celular lq6 demasiado perfecta solo tardo un poco en llegar pero siempre avisa por la demora excelente…,,Me gusta
grasiely iorio mota,Local Guide,3 reseñas,Hace un año,Nueva,"¡superó las expectativas!
excelente producto. muy bien embalado, llegado antes de la fecha límite, pintura de alta calidad, acabado perfecto, reposacabezas funcional, fácil montaje, gran…",,Me gusta
ray pinheiro,Local Guide,3 reseñas,Hace un año,Nueva,"el producto llegó bien gracias.
el envío deja un poco que desear porque compré otras partes en el mercado libre y en el mismo estado el mismo día y tomó solo un día, y a diferencia del…",,Me gusta
Givaldo Jose Da Silva,Local Guide,5 reseñas,Hace un año,Nueva,"la primera vez que realizo una compra en esta tienda, la entrega se realizó rápidamente y los productos son como se anuncian. muchas gracias por la entrega rápida.…",,Me gusta
Eudes Feitosa Silva,Local Guide,1 reseña,Hace un año,Nueva,me gustó mucho la entrega del producto a tiempo y producto de gran calidad lo recomiendo a cualquiera que quiera comprar…,,Me gusta
Margarete Padilha protzen,Local Guide,2 reseñas,Hace 10 meses,Nueva,"me atendieron muy bien, mi mercadería llegó mucho antes de la fecha límite estoy muy satisfecho. gracias por la atención.…",,Me gusta
Miguel Francisco Bento Antunes,Local Guide,1 reseña,Hace 9 meses,Nueva,recibí el producto antes del tiempo acordado. gran compra. felicitaciones por el servicio.…,,Me gusta
Maria Cristina de Oliveira Garcia,Local Guide,2 reseñas,Hace un año,Nueva,"la tienda estuvo muy atenta, la entrega fue rápida, el producto llegó como se anuncia y, debido a mi investigación anterior, este dispositivo g-tech, para uso doméstico, tiene la mejor relación costo-beneficio.…",,Me gusta
Viviane Silva,Local Guide,4 reseñas,Hace un año,Nueva,"producto de gran calidad !! fue una de las mejores compras que he hecho, el vendedor fue súper servicial, la entrega fue mucho más rápida de lo que esperaba, estoy muy satisfecho y recomiendo mucho para que los que…",,Me gusta
luiz Fernando Ferreira,Local Guide,1 reseña,Hace un año,Nueva,"excelente servicio, permite un fácil seguimiento de mi producto, entrega antes de lo previsto. ¡¡parte superior!!…",,Me gusta
Vera Santos,Local Guide,· 26 reseñas,Hace un año,Nueva,"protudo llegó rápido antes de la fecha límite acordada, bien empaquetado gran vendedor me gustó mucho el producto tan pronto como se completó la compra el vendedor ya se puso en contacto protudo ya estaba empaquetado…",,Me gusta
Wagner Lima,Local Guide,2 reseñas,Hace un año,Nueva,"el producto llego todo bien, publicado rapido y vendedor muy atento!
yo recomiendo.…",,Me gusta
Rita de Cássia C. de Moura,Local Guide,· 35 reseñas,Hace un año,Nueva,"la comunicación fue excelente, con asistentes siempre muy amables y serviciales al responderme y también al preguntarme si ya había recibido mi producto. la única razón por la que no le di la máxima puntuación fue…",,Me gusta
luiz noronha,Local Guide,1 reseña,Hace un año,Nueva,"fue todo muy rápido y eficaz. el producto es excelente, y hasta ahora, está funcionando perfectamente. la entrega fue antes del tiempo esperado. es decir, todo lo positivo y perfecto. no solo recomiendo esta tienda,…",,Me gusta
Renata Aguiar,Local Guide,1 reseña,Hace un año,Nueva,"el producto es genial calidad impecable, llego mucho antes de lo previsto, fui muy bien atendido por el vendedor
estoy muy satisfecho…",,Me gusta
Denise Sim,Local Guide,2 reseñas,Hace un año,Nueva,"no quisiera calificarlos mal, después de todo el producto es hermoso y de buena calidad. sin embargo estuve tenso con el servicio del transportista que llegó antes de la fecha prevista, sin previo aviso, sin…",Me gusta,
karina maura,Local Guide,2 reseñas,Hace un año,Nueva,"acabo de recibir mi producto y estoy simplemente encantado con el cuidado y cuidado que se envió. muy bien empaquetado, los productos envueltos en el papel de seda personalizado de la marca del producto y los dulces…",,Me gusta
Sandra Bossetto,Local Guide,1 reseña,Hace un año,Nueva,"compré el kit de papelera de reciclaje ecoclean y la entrega fue súper rápida, mucho antes de lo esperado.
como había un error tipográfico en el anuncio que generaba dudas sobre qué…",,Me gusta
